GW_CSA_AAA,Усиленный патруль безопасности
TEXT_COMPANY_BAKTOID_DESCRIPTION,Все продукты Baktoid: боевой дроид B1, дроид-разрушитель-II, карликовый дроид-паук и артиллерия CA.
TEXT_COMPANY_BALMORRAN_ARMS_DESCRIPTION,Balmorran Arms и лицензионные продукты: боевой дроид B1, дроид SD-6 Халк, боевой дроид SD-9, боевой дроид SD-10, X-1 Viper, варианты шагохода AT-ST.
TEXT_COMPANY_BLACK_15,Черный-15
TEXT_COMPANY_BLACK_15_DESCRIPTION,Бывший имперский орбитальный комплекс, укомплектованный йеветанскими техниками высочайшего уровня. Предоставляет скидку и сокращение времени на всю военную технику.
TEXT_COMPANY_BOTHAWUI_DESCRIPTION,Вся продукция Bothawui Shipyards: Ботанский штурмовой крейсер.
TEXT_COMPANY_BOTHAWUI_SHIPYARDS,Верфи Ботавуи
TEXT_COMPANY_CARIDA_ACADEMY,Академия Кариды
TEXT_COMPANY_CARIDA_ACADEMY_DESCRIPTION,Академия Кариды — самый престижный филиал Имперской военной академии, особенно ее изнурительная программа штурмовиков, включающая обширную полевые тренировки в мире с высокой перегрузкой.
TEXT_COMPANY_CEC_DESCRIPTION,Вся продукция Кореллианской инженерной корпорации: крейсер Гозанти, средний грузовой корабль YZ-775, фрегат-перехватчик IV, тендер Action VI, CR90, CR92 Assassin, Charger C70, DP20, пиратский корвет, CC-7700, CC-7700/E, легкий крейсер CEC, штурмовой авианосец Starbolt и варианты Proficient.
TEXT_COMPANY_CEDF_HQ,Комплекс ЦЭДФ
TEXT_COMPANY_CEDF_HQ_DESCRIPTION,Все продукты Чиссского Экспансионного Защитного Флота: Крини Огненный Волк, Фруоро Огневолк, Тендер Флота Эфодио Ночной Дракон, Синдикский Ночной Дракон, Интего Ночной Дракон.
TEXT_COMPANY_CHISS_CAPITAL,Дом Палас
TEXT_COMPANY_CHISS_OFFICE,Дом-застава
TEXT_COMPANY_COLICOID,Коликоидное творческое гнездо
TEXT_COMPANY_COLICOID_DESCRIPTION,Все продукты Colicoid Creation Nest: дроид-разрушитель и дроид-аннигилятор.
TEXT_COMPANY_CORELLIAN_CAPITAL,Башня Диктата
TEXT_COMPANY_CSA_CAPITAL,Палата исполнительного директора
TEXT_COMPANY_CSA_CAPITAL_DESCRIPTION,Это здание служит административным штабом Корпоративного сектора. Обеспечивает значительный бонусный доход.
TEXT_COMPANY_CSA_OFFICE,Офис контролера рынка
TEXT_COMPANY_CSA_OFFICE_DESCRIPTION,Создайте местную штаб-квартиру для управления системой. Открывает возможности инфраструктуры и сокращает время, прежде чем станет доступен полный доход планеты.
TEXT_COMPANY_CYGNUS,Лебедь Космические работы
TEXT_COMPANY_CYGNUS_DESCRIPTION,Вся продукция Cygnus Spaceworks: боевой корабль класса «Немезида», эскортный шаттл «Дельта JV-7».
TEXT_COMPANY_DAMORIAN_DESCRIPTION,Вся продукция Damorian: Carrack Cruiser и Tartan Patrol Cruiser.
TEXT_COMPANY_DARK_EMPIRE,Императорский центр клонирования
TEXT_COMPANY_DARK_EMPIRE_DESCRIPTION,Создает Темную Империю и поддерживает тело клона Палпатина. Разрушение положит конец режиму Темной Империи.
TEXT_COMPANY_DARK_EMPIRE_GARRISON_1,Отряд штурмовиков-карабинеров: 2 / ∞
TEXT_COMPANY_DARK_EMPIRE_GARRISON_2,Отряд штурмовиков-стрелков: 2 / ∞
TEXT_COMPANY_DARK_EMPIRE_GARRISON_3,Дроид-уничтожитель Скорпенек: 2 / 4
TEXT_COMPANY_DARK_EMPIRE_GARRISON_4,Крисалидный зверь: 2 / 2
TEXT_COMPANY_EMPIRE_CAPITAL,Императорский дворец
TEXT_COMPANY_EMPIRE_MOFFPALACE,Мофф Палас
TEXT_COMPANY_EOTH_CAPITAL,Рука Трауна
TEXT_COMPANY_ERIADU_CAPITAL,Главный штаб генерала
TEXT_COMPANY_GALENTRO,Галентро Тяжелый завод
TEXT_COMPANY_GALENTRO_DESCRIPTION,Вся продукция Galentro: Корабль-дозор Enforcer.
TEXT_COMPANY_GARRISON_ADC,X10 Наземный крейсер: 1 / 1
TEXT_COMPANY_GARRISON_ARAKYD,Легкий отряд наемников: 1 / 1
TEXT_COMPANY_GARRISON_BAKTOID,Разрушитель Дроид-II: 4 / 4
TEXT_COMPANY_GARRISON_BOTHAWUI_SHIPYARDS,Хижина местной милиции: 1 / 1
TEXT_COMPANY_GARRISON_CARIDA_ACADEMY,Местный военный отряд: 2 / 2
TEXT_COMPANY_GARRISON_CEDF,Отряд чиссов-телохранителей: 1 / 1
TEXT_COMPANY_GARRISON_COLICOID,Дроид-разрушитель серии Q: 4 / 4
TEXT_COMPANY_GARRISON_CYGNUS,Отряд сотрудников корпоративной безопасности: 1 / 1
TEXT_COMPANY_GARRISON_GALENTRO,Отряд сотрудников корпоративной безопасности: 1 / 1
TEXT_COMPANY_GARRISON_GORMTALQUIST,Отряд сотрудников корпоративной безопасности: 1 / 1
